,Year,Player,MVP,Rookie of Year,DPOY,6th man of Year,Most Improved,Finals MVP
93,2014,Goran Dragić,,,,,1.0,
114,2014,Kawhi Leonard,,,,,,1.0
5,2014,Kevin Durant,1.0,,,,,
71,2014,Jamal Crawford,,,,1.0,,
27,2014,Michael Carter-Williams,,1.0,,,,
70,2015,Lou Williams,,,,1.0,,
26,2015,Andrew Wiggins,,1.0,,,,
48,2015,Kawhi Leonard,,,1.0,,,
4,2015,Stephen Curry,1.0,,,,,
113,2015,Andre Iguodala,,,,,,1.0
92,2015,Jimmy Butler,,,,,1.0,
112,2016,LeBron James,,,,,,1.0
25,2016,Karl-Anthony Towns,,1.0,,,,
3,2016,Stephen Curry,1.0,,,,,
91,2016,CJ McCollum,,,,,1.0,
69,2016,Jamal Crawford,,,,1.0,,
47,2016,Kawhi Leonard,,,1.0,,,
68,2017,Eric Gordon,,,,1.0,,
111,2017,Kevin Durant,,,,,,1.0
90,2017,Giannis Antetokounmpo,,,,,1.0,
2,2017,Russell Westbrook,1.0,,,,,
46,2017,Draymond Green,,,1.0,,,
24,2017,Malcolm Brogdon,,1.0,,,,
23,2018,Ben Simmons,,1.0,,,,
89,2018,Victor Oladipo,,,,,1.0,
45,2018,Rudy Gobert,,,1.0,,,
67,2018,Lou Williams,,,,1.0,,
110,2018,Kevin Durant,,,,,,1.0
1,2018,James Harden,1.0,,,,,
44,2019,Rudy Gobert,,,1.0,,,
109,2019,Kawhi Leonard,,,,,,1.0
88,2019,Pascal Siakam,,,,,1.0,
66,2019,Lou Williams,,,,1.0,,
22,2019,Luka Dončić,,1.0,,,,
0,2019,Giannis Antetokounmpo,1.0,,,,,
